Id;State
1;Russia
2;Ukraine
3;France
4;Spain
5;Sweden
6;Norway
7;Germany
8;Finland
9;Poland
10;Italy
11;United Kingdom
12;Romania
13;Belarus
14;Kazakhstan
15;Greece
16;Bulgaria
17;Iceland
18;Hungary
19;Portugal
20;Austria
21;Czechia
22;Serbia
23;Ireland
24;Lithuania
25;Latvia
26;Croatia
27;Bosnia and Herzegovina
28;Slovakia
29;Estonia
30;Denmark
31;Switzerland
32;Netherlands
33;Moldova
34;Belgium
35;Armenia
36;Albania
37;North Macedonia
38;Turkey
39;Slovenia
40;Montenegro
41;Kosovo
42;Cyprus
43;Azerbaijan
44;Luxembourg
45;Georgia
46;Andorra
47;Malta
48;Liechtenstein
49;San Marino
50;Monaco
51;Vatican City
